Year,File Type,File Size,Compression,Resolution,Season,Image File,World File,Location
2012,ECW,16MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/G10C-3.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/G10C-3.eww,"POLYGON ((-97.211490428483 49.877096339848, -97.211656486495 49.872601408669, -97.218611448368 49.872708508859, -97.21844603533 49.877203456979, -97.211490428483 49.877096339848))"
2012,ECW,19MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/K7A-1.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/K7A-1.eww,"POLYGON ((-97.296383847257 49.837897905196, -97.296541806471 49.833402740221, -97.303491458389 49.833504690428, -97.303334142851 49.837999871526, -97.296383847257 49.837897905196))"
2012,ECW,20MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/E17C-4.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/E17C-4.eww,"POLYGON ((-97.008316952666 49.909763679259, -97.008502081308 49.905269300061, -97.015460926163 49.905388642352, -97.015276443375 49.909883040429, -97.008316952666 49.909763679259))"
2012,ECW,18MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/N12B-3.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/N12B-3.eww,"POLYGON ((-97.145721831831 49.777116639763, -97.14589338682 49.772621794907, -97.152833777932 49.77273267871, -97.152662864225 49.777227541094, -97.145721831831 49.777116639763))"
2012,ECW,18MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/H10D-1.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/H10D-1.eww,"POLYGON ((-97.19808125779 49.863396151268, -97.198248479377 49.85890124242, -97.20520142362 49.859009125457, -97.205034846494 49.863504051368, -97.19808125779 49.863396151268))"
2012,ECW,18MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/C11B-3.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/C11B-3.eww,"POLYGON ((-97.166691644782 49.957351113198, -97.166862344663 49.952856355774, -97.173828686194 49.952966270564, -97.173658634132 49.957461045382, -97.166691644782 49.957351113198))"
2012,ECW,24MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/B12C-1.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/B12C-1.eww,"POLYGON ((-97.152241548691 49.970614137808, -97.152413674306 49.966119427178, -97.159381873481 49.966230230902, -97.159210396145 49.970724959068, -97.152241548691 49.970614137808))"
2012,ECW,18MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/F8A-3.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/F8A-3.eww,"POLYGON ((-97.266170202067 49.904911905402, -97.266331343208 49.900416863855, -97.27329050657 49.900520726153, -97.273130011485 49.905015784132, -97.266170202067 49.904911905402))"
2012,ECW,16MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/L8A-3.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/L8A-3.eww,"POLYGON ((-97.269352456187 49.815931835233, -97.269479962049 49.812357317357, -97.276426501759 49.812460858366, -97.276299507103 49.816035389262, -97.269352456187 49.815931835233))"
2012,ECW,16MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/E10D-4.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/E10D-4.eww,"POLYGON ((-97.189278392671 49.912731384526, -97.189446724316 49.90823653592, -97.196406724308 49.908345024364, -97.196239038894 49.912839890134, -97.189278392671 49.912731384526))"
